Month,Peak,Gain,%Gain,Min Daily Peak,Avg. Daily Peak,Twitch Peak
Sep-11,312,-,-,194,258,-
Oct-11,587,275,88.10%,331,479,-
Nov-11,"12,385","11,798",2009.90%,512,"5,070",-
Dec-11,"20,156","7,771",62.70%,"12,211","16,934",-
Jan-12,"23,539","3,383",16.80%,"16,451","19,247",-
Feb-12,"26,129","2,590",11.00%,"10,515","22,851",-
Mar-12,"40,661","14,532",55.60%,"23,921","30,534",-
Apr-12,"53,426","12,765",31.40%,"33,762","42,740",-
May-12,"54,098",672,1.30%,"35,758","43,889",-
Jun-12,"65,425","11,327",20.90%,"50,802","55,251",-
Jul-12,"75,355","9,930",15.20%,"59,497","67,228",-
Aug-12,"111,804","36,449",48.40%,"69,520","79,863",-
Sep-12,"118,901","7,097",6.30%,"70,409","86,708",-
Oct-12,"171,931","53,030",44.60%,"89,614","119,125",-
Nov-12,"170,847","-1,084",-0.60%,"135,504","150,861",-
Dec-12,"215,557","44,710",26.20%,"152,190","183,330",-
Jan-13,"261,921","46,364",21.50%,"191,548","222,825",-
Feb-13,"284,234","22,313",8.50%,"234,582","258,300",-
Mar-13,"325,897","41,663",14.70%,"256,668","280,822",-
Apr-13,"300,414","-25,483",-7.80%,"259,406","275,880",-
May-13,"329,977","29,563",9.80%,"252,705","299,966",-
Jun-13,"326,835","-3,142",-1.00%,"289,563","302,524",-
Jul-13,"432,837","106,002",32.40%,"299,678","362,746",-
Aug-13,"524,282","91,445",21.10%,"384,727","470,709",-
Sep-13,"567,901","43,619",8.30%,"428,406","505,808",-
Oct-13,"582,526","14,625",2.60%,"455,531","526,276",-
Nov-13,"707,938","125,412",21.50%,"330,197","537,151",-
Dec-13,"693,538","-14,400",-2.00%,"413,692","555,971",-
Jan-14,"675,958","-17,580",-2.50%,"296,193","578,445",-
Feb-14,"740,345","64,387",9.50%,"416,160","625,814",-
Mar-14,"700,665","-39,680",-5.40%,"407,062","622,503",-
Apr-14,"737,526","36,861",5.30%,"632,635","672,857",-
May-14,"845,664","108,138",14.70%,"648,206","760,285",-
Jun-14,"833,145","-12,519",-1.50%,"532,186","769,814",-
Jul-14,"891,058","57,913",7.00%,"482,992","780,928",-
Aug-14,"776,400","-114,658",-12.90%,"444,221","722,120",-
Sep-14,"865,814","89,414",11.50%,"441,244","758,122",-
Oct-14,"885,661","19,847",2.30%,"736,163","796,269",-
Nov-14,"963,810","78,149",8.80%,"730,554","820,340",-
Dec-14,"936,583","-27,227",-2.80%,"580,168","792,429",-
Jan-15,"967,892","31,309",3.30%,"641,040","847,658",-
Feb-15,"1,263,992","296,100",30.60%,"490,132","882,959",-
Mar-15,"1,213,940","-50,052",-4.00%,"629,409","881,210",-
Apr-15,"929,965","-283,975",-23.40%,"721,862","839,695",-
May-15,"970,403","40,438",4.30%,"834,134","911,470",-
Jun-15,"915,726","-54,677",-5.60%,"777,241","855,278",-
Jul-15,"877,264","-38,462",-4.20%,"756,317","812,943","461,644"
Aug-15,"933,942","56,678",6.50%,"843,077","888,429","558,671"
Sep-15,"888,728","-45,214",-4.80%,"675,559","806,930","173,445"
Oct-15,"920,726","31,998",3.60%,"614,219","808,723","199,967"
Nov-15,"943,635","22,909",2.50%,"758,508","833,874","408,379"
Dec-15,"999,452","55,817",5.90%,"787,339","873,245","217,290"
Jan-16,"1,067,949","68,497",6.90%,"858,890","936,061","315,083"
Feb-16,"1,248,394","180,445",16.90%,"886,275","1,061,116","241,065"
Mar-16,"1,291,328","42,934",3.40%,"879,819","994,699","339,020"
Apr-16,"1,164,041","-127,287",-9.90%,"837,640","956,387","341,103"
