Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,"444,375.50","-5,824.60",-1.29%,"733,196"
Feb-22,"450,200.10","-35,591.30",-7.33%,"725,851"
Jan-22,"485,791.40","36,494.10",8.12%,"786,118"
Dec-21,"449,297.40",436.8,0.10%,"756,170"
Nov-21,"448,860.50","-1,900.90",-0.42%,"747,506"
Oct-21,"450,761.40","59,679.40",15.26%,"752,482"
Sep-21,"391,082.10","-33,898.10",-7.98%,"666,838"
Aug-21,"424,980.20","1,824.00",0.43%,"699,613"
Jul-21,"423,156.20","1,646.20",0.39%,"707,406"
Jun-21,"421,510.00","6,365.00",1.53%,"734,277"
May-21,"415,145.00","1,360.00",0.33%,"672,307"
Apr-21,"413,785.00","23,372.20",5.99%,"705,534"
Mar-21,"390,412.80","-14,419.40",-3.56%,"648,875"
Feb-21,"404,832.10","-27,839.50",-6.43%,"651,615"
Jan-21,"432,671.70","10,119.30",2.39%,"694,613"
Dec-20,"422,552.30","-3,352.50",-0.79%,"697,833"
Nov-20,"425,904.80","19,543.50",4.81%,"711,824"
Oct-20,"406,361.40","-2,248.40",-0.55%,"723,280"
Sep-20,"408,609.80","-21,107.30",-4.91%,"670,547"
Aug-20,"429,717.10","-20,496.90",-4.55%,"666,138"
Jul-20,"450,214.00","-6,970.40",-1.52%,"712,610"
Jun-20,"457,184.40","-27,004.60",-5.58%,"733,294"
May-20,"484,189.00","-9,111.30",-1.85%,"793,135"
Apr-20,"493,300.30","56,152.90",12.85%,"801,121"
Mar-20,"437,147.40","31,168.70",7.68%,"743,933"
Feb-20,"405,978.70","27,053.20",7.14%,"663,812"
Jan-20,"378,925.40","-5,254.30",-1.37%,"616,415"
Dec-19,"384,179.80","-17,752.00",-4.42%,"685,165"
Nov-19,"401,931.80","13,575.90",3.50%,"708,517"
Oct-19,"388,355.90","-33,615.40",-7.97%,"739,924"
Sep-19,"421,971.20","-45,177.10",-9.67%,"753,996"
Aug-19,"467,148.30","2,360.70",0.51%,"826,690"
Jul-19,"464,787.60","-42,740.80",-8.42%,"779,160"
Jun-19,"507,528.40","-40,994.70",-7.47%,"865,374"
May-19,"548,523.20","28,304.20",5.44%,"997,341"
Apr-19,"520,219.00","-66,286.90",-11.30%,"971,545"
Mar-19,"586,505.80","21,596.20",3.82%,"1,033,925"
Feb-19,"564,909.70","89,162.70",18.74%,"964,921"
Jan-19,"475,747.00","36,379.20",8.28%,"874,888"
Dec-18,"439,367.80","-21,705.70",-4.71%,"765,422"
Nov-18,"461,073.50","29,899.60",6.93%,"826,053"
Oct-18,"431,173.90","-35,296.80",-7.57%,"739,643"
Sep-18,"466,470.70","-9,630.30",-2.02%,"826,166"
Aug-18,"476,101.10","34,386.70",7.78%,"829,281"
Jul-18,"441,714.30","-32,185.70",-6.79%,"701,582"
Jun-18,"473,900.00",-425.9,-0.09%,"796,886"
May-18,"474,325.90","43,984.90",10.22%,"844,713"
Apr-18,"430,340.90","-6,921.40",-1.58%,"733,214"
Mar-18,"437,262.30","-1,585.40",-0.36%,"773,897"
Feb-18,"438,847.70","-48,014.20",-9.86%,"779,299"
Jan-18,"486,861.90","-26,212.40",-5.11%,"778,627"
Dec-17,"513,074.30","25,693.10",5.27%,"864,939"
Nov-17,"487,381.20","21,254.50",4.56%,"861,173"
