DateTime,Players,Twitch Viewers,Events,Prize
17/07/2015,764390,54466,,
18/07/2015,792754,66743,,
19/07/2015,807297,61229,,
20/07/2015,783793,57261,,
21/07/2015,756317,47972,,
22/07/2015,794089,46924,,
23/07/2015,807766,55952,,
24/07/2015,804324,51277,,
25/07/2015,831185,38703,,
26/07/2015,836977,341784,The International,"18,429,613"
27/07/2015,819270,461644,The International,"18,429,613"
28/07/2015,857715,400357,The International,"18,429,613"
29/07/2015,772649,398874,The International,"18,429,613"
30/07/2015,862533,324766,The International,"18,429,613"
31/07/2015,877264,146257,The International,"18,429,613"
01/08/2015,888922,31051,The International,"18,429,613"
02/08/2015,869897,34630,The International,"18,429,613"
03/08/2015,849227,491849,The International,"18,429,613"
04/08/2015,867682,386041,The International,"18,429,613"
05/08/2015,881341,466955,The International,"18,429,613"
06/08/2015,892250,522537,The International,"18,429,613"
07/08/2015,905992,482442,The International,"18,429,613"
08/08/2015,929855,558671,The International,"18,429,613"
09/08/2015,933942,545813,,
10/08/2015,903742,40120,,
11/08/2015,891526,38488,,
12/08/2015,871844,42142,,
13/08/2015,843077,43350,,
14/08/2015,882479,48972,,
15/08/2015,912167,64358,,
16/08/2015,913025,54404,,
17/08/2015,871136,54634,,
18/08/2015,887483,77567,,
19/08/2015,865650,75803,,
20/08/2015,859559,63779,,
21/08/2015,883124,56987,,
22/08/2015,914821,43790,,
23/08/2015,898915,50815,,
24/08/2015,875519,53133,,
25/08/2015,871290,56393,,
26/08/2015,869550,52667,,
27/08/2015,878261,59405,,
28/08/2015,904806,57879,,
29/08/2015,928196,54183,,
30/08/2015,929404,48978,,
31/08/2015,866614,66829,,
01/09/2015,848618,76693,,
02/09/2015,712621,67493,,
03/09/2015,805198,101465,,
04/09/2015,853017,152886,,
05/09/2015,888728,162745,,
06/09/2015,872955,137048,,
07/09/2015,808091,75766,,
08/09/2015,794153,57850,,
09/09/2015,779742,71273,,
10/09/2015,741933,66190,,
11/09/2015,816490,80795,,
12/09/2015,863533,68077,,
13/09/2015,887735,95823,,
14/09/2015,804409,96726,,
15/09/2015,797276,67141,,
16/09/2015,788458,47331,,
17/09/2015,780077,58717,,
18/09/2015,843743,74378,,
19/09/2015,854655,72185,,
20/09/2015,727645,94976,,
21/09/2015,759409,99137,,
22/09/2015,777899,173445,,
23/09/2015,675559,146077,,
