DateTime,Players,Twitch Viewers,Events,Prize
22/09/2011,194,,,
23/09/2011,240,,,
24/09/2011,,,,
25/09/2011,233,,,
26/09/2011,222,,,
27/09/2011,303,,,
28/09/2011,312,,,
29/09/2011,299,,,
30/09/2011,,,,
01/10/2011,,,,
02/10/2011,376,,,
03/10/2011,344,,,
04/10/2011,389,,,
05/10/2011,466,,,
06/10/2011,439,,,
07/10/2011,479,,,
08/10/2011,442,,,
09/10/2011,530,,,
10/10/2011,504,,,
11/10/2011,490,,,
12/10/2011,457,,,
13/10/2011,450,,,
14/10/2011,465,,,
15/10/2011,500,,,
16/10/2011,587,,,
17/10/2011,544,,,
18/10/2011,470,,,
19/10/2011,506,,,
20/10/2011,506,,,
21/10/2011,474,,,
22/10/2011,331,,,
23/10/2011,483,,,
24/10/2011,483,,,
25/10/2011,508,,,
26/10/2011,474,,,
27/10/2011,580,,,
28/10/2011,542,,,
29/10/2011,562,,,
30/10/2011,468,,,
31/10/2011,522,,,
01/11/2011,512,,,
02/11/2011,931,,,
03/11/2011,915,,,
04/11/2011,1002,,,
05/11/2011,1112,,,
06/11/2011,1089,,,
07/11/2011,912,,,
08/11/2011,1353,,,
09/11/2011,2190,,,
10/11/2011,2396,,,
11/11/2011,2822,,,
12/11/2011,2787,,,
13/11/2011,2921,,,
14/11/2011,3131,,,
15/11/2011,3182,,,
16/11/2011,3769,,,
17/11/2011,5463,,,
18/11/2011,7353,,,
19/11/2011,7504,,,
20/11/2011,7443,,,
21/11/2011,6702,,,
22/11/2011,7624,,,
23/11/2011,8324,,,
24/11/2011,8342,,,
25/11/2011,8342,,,
26/11/2011,11701,,,
27/11/2011,10915,,,
28/11/2011,9247,,,
29/11/2011,9733,,,
30/11/2011,12385,,,
01/12/2011,12211,,,
02/12/2011,16862,,,
03/12/2011,16827,,,
04/12/2011,16661,,,
05/12/2011,15360,,,
06/12/2011,15360,,,
07/12/2011,18026,,,
08/12/2011,19107,,,
09/12/2011,19650,,,
10/12/2011,20156,,,
11/12/2011,19998,,,
12/12/2011,19730,,,
13/12/2011,18776,,,
14/12/2011,17219,,,
15/12/2011,16494,,,
16/12/2011,17269,,,
17/12/2011,17830,,,
18/12/2011,17254,,,
19/12/2011,16634,,,
20/12/2011,15581,,,
21/12/2011,17513,,,
22/12/2011,17388,,,
23/12/2011,16227,,,
24/12/2011,15041,,,
25/12/2011,16424,,,
26/12/2011,16485,,,
27/12/2011,16214,,,
28/12/2011,15182,,,
29/12/2011,16695,,,
30/12/2011,16709,,,
31/12/2011,14058,,,
01/01/2012,17889,,,
02/01/2012,17976,,,
03/01/2012,17148,,,
04/01/2012,17226,,,
05/01/2012,17385,,,
06/01/2012,17404,,,
07/01/2012,18379,,,
08/01/2012,18365,,,
09/01/2012,17113,,,
10/01/2012,17006,,,
11/01/2012,16451,,,
12/01/2012,19558,,,
13/01/2012,21221,,,
14/01/2012,21194,,,
15/01/2012,20633,,,
16/01/2012,19621,,,
17/01/2012,18764,,,
18/01/2012,18764,,,
19/01/2012,18764,,,
20/01/2012,18764,,,
21/01/2012,18764,,,
22/01/2012,18764,,,
23/01/2012,19170,,,
24/01/2012,18926,,,
25/01/2012,18999,,,
26/01/2012,21080,,,
27/01/2012,23112,,,
28/01/2012,23539,,,
29/01/2012,23022,,,
30/01/2012,21220,,,
31/01/2012,20421,,,
01/02/2012,20784,,,
02/02/2012,20601,,,
03/02/2012,24123,,,
04/02/2012,24765,,,
05/02/2012,24341,,,
06/02/2012,20716,,,
07/02/2012,21282,,,
08/02/2012,20790,,,
09/02/2012,21224,,,
10/02/2012,23509,,,
11/02/2012,23587,,,
12/02/2012,21358,,,
13/02/2012,21378,,,
14/02/2012,10515,,,
15/02/2012,22142,,,
16/02/2012,23965,,,
17/02/2012,25875,,,
18/02/2012,26129,,,
19/02/2012,25313,,,
20/02/2012,24898,,,
21/02/2012,23934,,,
22/02/2012,23196,,,
23/02/2012,23331,,,
24/02/2012,24787,,,
25/02/2012,25703,,,
26/02/2012,25956,,,
27/02/2012,23389,,,
28/02/2012,23090,,,
29/02/2012,21986,,,
01/03/2012,23921,,,
02/03/2012,27976,,,
03/03/2012,27962,,,
04/03/2012,24636,,,
05/03/2012,24488,,,
06/03/2012,26116,,,
07/03/2012,26014,,,
08/03/2012,26343,,,
09/03/2012,28451,,,
10/03/2012,30030,,,
11/03/2012,30095,,,
12/03/2012,26781,,,
13/03/2012,25122,,,
14/03/2012,27043,,,
15/03/2012,28397,,,
16/03/2012,31583,,,
17/03/2012,32405,,,
18/03/2012,31417,,,
19/03/2012,27437,,,
20/03/2012,27422,,,
21/03/2012,27558,,,
22/03/2012,31865,,,
23/03/2012,36133,,,
24/03/2012,38596,,,
25/03/2012,36933,,,
26/03/2012,34441,,,
27/03/2012,33528,,,
28/03/2012,36163,,,
29/03/2012,37128,,,
30/03/2012,39910,,,
31/03/2012,40661,,,
01/04/2012,39847,,,
02/04/2012,35849,,,
03/04/2012,33762,,,
04/04/2012,34628,,,
05/04/2012,38702,,,
06/04/2012,37997,,,
07/04/2012,37414,,,
08/04/2012,35948,,,
09/04/2012,34111,,,
10/04/2012,34086,,,
11/04/2012,36582,,,
12/04/2012,38184,,,
13/04/2012,47205,,,
14/04/2012,44638,,,
15/04/2012,42522,,,
16/04/2012,38866,,,
17/04/2012,40906,,,
18/04/2012,44056,,,
19/04/2012,50109,,,
20/04/2012,53426,,,
21/04/2012,53303,,,
22/04/2012,48604,,,
23/04/2012,47750,,,
24/04/2012,45989,,,
25/04/2012,43659,,,
26/04/2012,47117,,,
27/04/2012,50368,,,
28/04/2012,50846,,,
29/04/2012,47405,,,
30/04/2012,48329,,,
01/05/2012,44391,,,
02/05/2012,43930,,,
03/05/2012,49005,,,
04/05/2012,53039,,,
05/05/2012,51878,,,
06/05/2012,49171,,,
07/05/2012,46270,,,
08/05/2012,44412,,,
09/05/2012,44074,,,
10/05/2012,47828,,,
11/05/2012,51321,,,
12/05/2012,49382,,,
13/05/2012,46077,,,
14/05/2012,39273,,,
15/05/2012,35758,,,
16/05/2012,37289,,,
17/05/2012,39921,,,
18/05/2012,40719,,,
19/05/2012,43504,,,
20/05/2012,37125,,,
21/05/2012,37744,,,
22/05/2012,37725,,,
23/05/2012,38456,,,
24/05/2012,41958,,,
25/05/2012,43822,,,
26/05/2012,43950,,,
27/05/2012,41905,,,
28/05/2012,42415,,,
29/05/2012,42576,,,
30/05/2012,41547,,,
31/05/2012,54098,,,
01/06/2012,55519,,,
02/06/2012,57901,,,
03/06/2012,52426,,,
04/06/2012,51161,,,
05/06/2012,53217,,,
06/06/2012,52856,,,
07/06/2012,51574,,,
08/06/2012,54040,,,
09/06/2012,54436,,,
10/06/2012,50965,,,
11/06/2012,57093,,,
12/06/2012,52085,,,
13/06/2012,52847,,,
14/06/2012,52847,,,
15/06/2012,55173,,,
16/06/2012,54638,,,
